alphas1_c,alphas2_c,alpha_c,anisotropy_c,c11_c,c13_phase_c,c22_c,c33_c,entropy_c,l1_c,l2_c,l3_c,phis1_c,phis2_c,ro12_amplitude_c,span_c,taum1_c,taum2_c,taum3_c,yamaguchi4_dbl_c,yamaguchi4_hlx_c,yamaguchi4_odd_c,yamaguchi4_vol_c,Class
35.0391,56.8541,49.8715,0.3877,0.2273,-68.1986,0.192,0.3937,0.9073,0.4854,0.3275,0.1445,18.4362,-4.6642,0.3321,0.813,1.9283,17.157,-18.1655,0.0469,0.1539,0.046,0.7106,Rapeseed
14.7726,71.9972,45.6573,0.1118,0.2746,-23.0513,0.1947,0.2688,0.9217,0.5085,0.2487,0.1986,-27.8413,-45.0289,0.1205,0.7382,2.3524,-33.1183,23.4639,0.0098,0.1583,0.2044,0.5833,Rapeseed
19.9566,76.1705,46.7763,0.1441,0.2119,-15.732,0.2333,0.3894,0.9212,0.4911,0.2489,0.1862,-30.4178,17.542,0.157,0.8346,3.8078,11.223,-7.6097,0.0419,0.2383,0.2834,0.3627,Rapeseed
27.984,45.0204,48.9744,0.1128,0.2038,7.4314,0.2491,0.5058,0.933,0.47,0.2452,0.1955,-41.246,47.7842,0.2224,0.9587,-4.2923,25.7831,-35.5645,0.1551,0.1438,0,0.6118,Rapeseed
26.1289,57.9626,48.4261,0.1322,0.4483,-37.9716,0.1494,0.3511,0.9066,0.5382,0.2491,0.191,-36.9112,54.9565,0.2447,0.9488,-8.6265,-29.3709,-9.718,0,0.2144,0.2088,0.5551,Rapeseed
17.0581,26.5898,48.1324,0.2039,0.4345,-10.9887,0.2341,0.3393,0.9368,0.4743,0.2855,0.1888,-25.3557,52.0144,0.2344,1.0079,-1.6749,40.239,-25.1803,0,0.009,0,0.9396,Rapeseed
26.1598,66.7782,49.6404,0.2543,0.1306,-23.6294,0.3732,0.6812,0.9415,0.4579,0.308,0.1831,-9.4266,25.7001,0.2542,1.185,-1.6633,15.1898,-18.088,0,0.009,0,0.94,Rapeseed
33.3336,68.8026,50.8653,0.2778,0.2558,165.9638,0.2315,0.2863,0.9327,0.4761,0.3129,0.1769,5.6348,10.5706,0.3289,0.7736,-2.6026,4.4258,-6.8549,0.0018,0.0381,0,0.926,Rapeseed
6.9414,78.5741,29.6225,0.1735,0.3785,13.2802,0.0861,0.2894,0.7253,0.5176,0.1233,0.0868,29.9729,-19.3563,0.1769,0.7539,-0.9294,27.9589,-36.9797,0.0322,0.0749,0.412,0.2086,Lucerne
9.7562,74.0261,31.892,0.3168,0.2085,21.8014,0.1008,0.1927,0.7262,0.4818,0.1335,0.0693,25.2789,-15.2622,0.2066,0.502,-2.3084,25.4874,39.4013,0.0562,0.1446,0.4669,0.0168,Lucerne
9.7021,74.3314,30.8598,0.4019,0.4284,-30.5297,0.0616,0.1616,0.6998,0.5264,0.1458,0.0622,18.2149,1.4183,0.1756,0.6516,-2.2335,26.8019,36.0171,0.1045,0,0.4433,0.1494,Lucerne
11.3268,76.2988,29.9286,0.3444,0.4811,-9.0629,0.0757,0.3586,0.6735,0.6375,0.1517,0.074,22.6683,-9.7691,0.2171,0.9154,-1.6057,20.7631,31.2405,0.1029,0,0.535,0.1801,Lucerne
9.678,80.5886,28.9284,0.2498,0.3908,11.0786,0.1275,0.3123,0.6776,0.6298,0.138,0.0828,30.1714,-18.1713,0.1655,0.8307,-1.4028,15.3404,24.4584,0.0841,0,0.5201,0.1972,Lucerne
9.085,78.8328,31.2227,0.2414,0.3199,-1.7227,0.1019,0.2416,0.7311,0.5658,0.1473,0.09,23.7904,-21.4734,0.162,0.6634,-1.2876,-22.4685,-35.0874,0.0365,0.1401,0.4903,0.1362,Lucerne
10.2141,76.0949,29.3579,0.1897,0.476,6.5663,0.1222,0.3427,0.6861,0.629,0.1335,0.091,13.8415,-13.0514,0.291,0.9409,0.7657,23.7768,-34.0536,0.0351,0.0472,0.4866,0.2845,Lucerne
8.433,80.7958,32.5681,0.2835,0.4246,2.3859,0.08,0.2769,0.7567,0.4712,0.1403,0.0783,17.0977,-13.8075,0.185,0.7815,-1.4228,11.8114,36.6103,0.0591,0.0746,0.3824,0.1737,Lucerne
8.7458,75.7551,33.0418,0.3929,0.2823,9.0395,0.0813,0.1797,0.755,0.4745,0.1588,0.0692,25.9103,-20.8962,0.1649,0.5433,-0.7027,26.2977,39.5254,0.0834,0.052,0.3778,0.1894,Lucerne
7.0834,68.3268,30.4232,0.4104,0.3297,14.6209,0.0567,0.3715,0.7072,0.545,0.1564,0.0654,29.4726,-48.8061,0.1599,0.7579,2.493,36.6929,31.874,0.0718,0.0164,0.4023,0.2764,Lucerne
8.8717,76.9238,28.8068,0.3204,0.3242,22.6996,0.0765,0.4439,0.6801,0.677,0.1607,0.0827,31.8412,-35.8622,0.1697,0.8445,1.2547,27.996,27.9296,0.0573,0.0906,0.5644,0.2082,Lucerne
10.0713,79.5928,28.5136,0.2471,0.6311,3.6914,0.1655,0.4042,0.6682,0.6733,0.1426,0.0861,38.1921,-37.9661,0.2183,1.2008,0.3708,13.3606,21.9859,0.0374,0.1439,0.6079,0.1128,Lucerne
6.0202,84.6375,33.078,0.1937,0.4049,-14.5345,0.0953,0.364,0.7856,0.4627,0.1389,0.0938,12.4157,30.9448,0.0478,0.8642,-0.4883,36.9112,18.3121,0.0214,0.0372,0.2814,0.3554,Suger_Beets
5.3483,70.5852,31.028,0.1245,0.2992,-18.8982,0.0954,0.3397,0.759,0.5143,0.1309,0.1019,7.1435,29.7342,0.0844,0.7343,-1.5126,40.7396,35.9397,0.0059,0.0191,0.3002,0.422,Suger_Beets
